Key_stages,Model_step,Criterion,Author_reference,Issue(Araujo)/Hazard(Soley),Assumption_Description,Assumption_relative_importance,Violation_of_Assumptions,Effects_Category,Effects_Subcategory,Omission_errors,Commission_errors,Potential_Solutions,Explanation (Hypothesis testing),Predictions (Spatially explicit),Projection (Extrapolation),Predictions (Non-spatially explicit),Questions_Evaluation_Tool,Questions_General
"Data quality, relevance and preparation",Predictors datasets,Selection of candidate variables. ,Araujo et al. (2019),Issue 2A,Some variables exert a primary control on the species distributions and suitable habitat. (Araujo et al. 2019):,Working assumptions (Moderate),Key predictors are not included in the model,"Accuracy, Overpredictions, Undepredictions","Reduce the statistical power, Misidentification of key environmental drivers, Underestimation of the Ecological Niche",Very high,Very high,"Acknowledge modelers were unable to address this assumption., ""Modelers might consider this criterion is irrelevant or has minimum impact on the accuracy of model precictions. Modelers are looking only for high model accuracy and low uncertainty, regarless of explaining of predictors.""",1,1,1,0,"""Are you concerned about the description and treatment of predictor data, as described in the model metadata."", How concerned are you about missing predictors?, What predictors are missing and why?, How concerned are you about superfluous or inappropriate predictors?, Which predictors should be removed and why?, How concerned are you about inaccuracy in the model predictors?, ""If so, describe the predictor(s) and the areas of concern.""",
"Data quality, relevance and preparation",Predictors datasets,Predictors are relevant for species distribution/abundances,"Araujo et al. (2019), Soley-Guardia et al. (2024)","Issue 2A, Hazard 3","Variables included in the models do in fact reflect the niche requirements of a species"" (Wiens et al. 2009). ""All important environmental predictors required to capture the desired niche of the modeled species are assumed to be available at the resolution relevant for the organism being modeled (Guisan et al. 2017). ",Fundamental assumptions (High),Unmeasured niche dimensions,"Accuracy, Precision, Overpredictions, Undepredictions","Potentially misrepresenting species distributions, Potentially misrepresenting suitable habitats, Underprediciton of potential regions of suitability, Overstimate range expansion, Understimate range expansion, Reduced model transferability, Overestimation of suitable habitat, Understimate range contraction, Underestimation of the Ecological Niche",High,Very high,"Acknowledge modelers were unable to address this assumption., ""Modelers might consider this criterion is irrelevant or has minimum impact on the accuracy of model precictions. Modelers are looking only for high model accuracy and low uncertainty, regarless of explaining of predictors.""",1,1,1,0,,
"Data quality, relevance and preparation",Predictors datasets,Uncertainty in predictor variables,Araujo et al. (2019),Issue 2C,"Predictors measured without error (Araujo et al. 2019):. This issue is rarely assessed in studies of SDMs, although errors are an inherent factor in each GIS predictor layer (McInerny and Purves, Reference McInerny and Purves2011; Marion et al., 2012). Although it is essentially impossible to guarantee zero errors in mapped environmental predictors, estimates of spatial distribution of errors could be associated with each layer and used to calculate spatial uncertainty in the model predictions (Barry and Elith 2006; Van Niel and Austin 2007). There is still a need for a proper method for combining errors from the different environmental variables in the model. This might be achieved using Bayesian approaches that can account for prior knowledge and uncertainty in environmental layers (McInerny and Purves 2011; Keil et al. 2014). (Guisan et al. 2017).",Modulating assumptions (Low),Environmental layer (e.g. climate variables) with error and spatial uncertainty not considered in modelling,"Accuracy, Precision, Overpredictions, Undepredictions","Reduce the statistical power, Erros in model intepretation, Biased Parameter Estimates, Commission errors, Omission errors",Moderate,Moderate,Acknowledge modelers were unable to address this assumption.,1,1,1,1,How concerned are you about inaccuracy in the model predictors?,
"Data quality, relevance and preparation",Predictors datasets,Non-novel environmental conditions,Araujo et al. (2019),Issue 2A,"SDMs assummes future scenarios are within the range of known enviromental conditions (Araujo et al. 2019). That is, climatic conditions between training and introduced areas are analogous (Richmond et al. 2010)",Working assumptions (Moderate),Novel climatic conditions might occur in introduced area (Richmond et al. 2010). Modeled responses extrapolate beyond range of values for environmental predicitors found in native range (Richmond et al. 2010).,"Accuracy, Undepredictions","Biased Parameter Estimates, Omission errors, Overstimate range expansion, Understimate range expansion, Understimate range contraction, Potentially misrepresenting suitable habitats, Underprediciton of potential regions of suitability",Moderate,Moderate,"Use a clamping procedure to limit predictions in regions with novel climatic conditions., Acknowledge modelers were unable to address this assumption.",0,0,1,0,,"""Does projecting models into novel environmental space (environments not represented in the current data) introduce rising, unquantifiable uncertainty, especially in areas expected to undergo significant climate change?"", ""Is there a limit to the forecast horizon (e.g. are the first 30 years of projections more reliable than long-term ones), after which novelty makes them unreliable?"", Does the species' niche remain fixed (niche conservatism)?"
"Data quality, relevance and preparation",Predictors datasets,"Models or scenarios (climate, land use and land cover, etc.) to calculate predictors",,,"SDMs assummes that models and scenarios of climate change & LULCC represent what is on the ground (e.g. Global circulation models-GCMs or  RCPs). See McMahon et al 2015, Cheaib et al. 2012, Thomas et al. 2004,  Thuiller et al. 2004) ",Modulating assumptions (Low),"Global Circulation Models (GCMs) rely on multiple parameters, assumptions and downscaling and interpolation approaches that might add uncertainty to SDMs.","Accuracy, Precision, Overpredictions, Undepredictions","Overstimate range expansion, Understimate range expansion, Biased estimates of range dynamics, It can lead to biased projections of species distributions under climate change",High,Very high,"""Use an ensemble of multiple GCMs and different Representative Concentration Pathways (RCPs, e.g. RCP 4.5, RCP 8.5) to project a range of potential future conditions."", ""Dynamical downscaling uses regional climate models nested within GCMs to simulate climate processes at a finer scale, which can better simulate non-linear changes."", Acknowledge modelers were unable to address this assumption.",1,0,1,0,,"Which abiotic and biotic variables should be included (and which excluded)?, At what spatial and temporal scales are the covariates appropriate?, Are the assumed species-environment relationships realistic?, ""What is the quality and spatial/temporal resolution of the future climate data (e.g. General Circulation Models, GCMs)?"", Is the spatial accuracy of the predictor variables appropriate for the scale of the species' occurrence data?"
Model building,Model settings/complexity,Model complexity and structure is appropriate,Araujo et al. (2019),Issue 3A,"The choice of model complexity (Araujo et al. 2019); e.g. linear vs. non-linear, single vs. multiple factors) can affect model accuracy and robustness (e.g. Brun et al. 2019), Merow et al. 2014).",Working assumptions (Moderate),"Simplifications made in the formulation, structure and complexity of the model are inapropriate","Accuracy, Precision, Overpredictions","Commission errors, Potentially misrepresenting species distributions, Potentially misrepresenting suitable habitats",High,High,"Comparing a range of models (predictive performance) & response shapes (Ramampiandra et al. 2023)., Acknowledge modelers were unable to address this assumption.",1,1,1,0,What other concerns or comments do you have about model complexity?,
Model building,"Treatments, fittings, tunning",Treatment of bias and noise in species datasets,Araujo et al. (2019),Issue 3B,"There is no geographical and environmental bias in species data sets (Araujo et al. 2019):, and its treatment is irrelevant",Working assumptions (Moderate),Treatment of bias and noise in species datasets is not appropriate or does not correct address the issue,"Overpredictions, Undepredictions, Precision, Accuracy","Commission errors, Omission errors",Very high,High,"Spatial thining/filtering., Background/Pseudo-absence Point Manipulation approach., Implement Integrated Species Distribution Models (ISDMs) approach that combines data from multiple sources., Applying weights to observations can account for varying sampling reliability or effort., Acknowledge modelers were unable to address this assumption.",1,1,1,,,"""How does the species' ecology (e.g. rarity, specialization, social behavior) interact with survey methods to introduce bias into population estimates?"", ""To what extent can data gaps and biases be treated as a """"missing data problem"""" (e.g. Missing At Random vs. Missing Not At Random), and what are the implications of making such assumptions?"", ""Are the methods for mitigating different types of bias (e.g. geographic thinning, environmental filtering, or weighting background points) effective?"", ""Is data quantity or spatial evenness more important for improving model predictions, and should researchers prioritize collecting more data or investing in more spatially balanced sampling?"""
Model building,"Treatments, fittings, tunning",Treatment of collinearity in predictors,Araujo et al. (2019),Issue 3C,There is no collinearity among predictors (Araujo et al. 2019).,Working assumptions (Moderate),Treatment of collinearity in predictors  is not appropriate or does not correct address the issue (Dormann et al. 2012).,"Accuracy, Precision, Overpredictions, Undepredictions","Commission errors, Omission errors",High,High,"The simplest approach is to identify highly correlated variables (often using a correlation matrix or the Variance Inflation Factor (VIF)) and remove one from each highly correlated pair., ""Implement dimensionality reduction techniques (PCAs Partial least squares, etc.)."", ""Algorithm solutions (regularization techniques, type of algorithm, etc.)."", Acknowledge modelers were unable to address this assumption.",1,1,1,,,
Model building,"Treatments, fittings, tunning",Dealing with modelling and parameter uncertainty,Araujo et al. (2019),Issue 3D,There multiple sources of model uncertainty that modellers should acknowledge (Araujo et al. 2019).,Modulating assumptions (Low),"Multiple source of uncertaintynot addressed in model fitting: species datsets, covariates, model overparametrization, algorithms, initial conditions, rare events, stochasticity, etc.","Accuracy, Precision, Overpredictions","Biased Parameter Estimates, Reduced model transferability",Moderate,Moderate,"Spend effort on reducing SDM extrapolation rather than improving model fit (e.g. fitting species data over a broader range of environmental conditions). (Brodie et al. 2022)., Identify which uncertainties dominate your predictions (Dietze et al. 2018)., Quantify uncertainty in model predictions (e.g. Thomas et al. 2024)., Validate predictions using new data sets., Using a combination of multiple diverging earth system models and multiple types or parameterizations of SDMs will effectively capture uncertainty. (Brodie et al. 2022)., Quantify uncertainty over time; as SDM uncertainty can dominate at longer time horizons (>40 years); and decadal variability can drive nondirectional trends in uncertainty. (Brodie et al. 2022). See also  (e.g. Thomas et al. 2024; Morley et al. 2020)., Acknowledge modelers were unable to address this assumption.",1,1,1,1,,
Model building,Model settings/complexity,Appropriate algorithm,,,"The algorithm selected is the ""best"" option given the data sets (species and predictors). See Lawler et al. 2006, Shabani et al. 2016, ",Working assumptions (Moderate),Algoritnm choice does not match species occurrence data requiemerents (see Wiens et al. 2009).,"Accuracy, Precision","Commission errors, Omission errors, Potentially misrepresenting species distributions, Potentially misrepresenting suitable habitats, Reduce the statistical power, Biased Parameter Estimates",High,High,"Consider ensemble models., Assess model performance; using Tru Skill Statistics (e.g. Shabani et al. 2016; Allouche et al. 2006)., Acknowledge modelers were unable to address this assumption.",1,1,1,0,How concerned are you about the appropriateness of the modeling algorithm for the model objectives and application?,
Model building,Model settings/complexity,Training samples are representative,,,Training samples are representative of the enviromental conditions in native range. (Richmond et al. 2010),Modulating assumptions (Low),Poor or lack of independent training datasets,"Accuracy, Precision","Omission errors, Potentially misrepresenting species distributions, Underprediciton of potential regions of suitability",High,High,"Generate adequate number of random pseudo-absences points from native range., Acknowledge modelers were unable to address this assumption.",1,1,1,1,,
Model building,Model selection,Appropriateness of the statistical methods,,,"Quatitative approaches are appropriate for model goals, data, etc. Different types of response variables require different types of statistical models (Guisan and Zimmermannn2000). For instance, semi-quantitative data require very specific modeling techniques, such as ordinal regressions (Guisan and Harrell2000). Quantitative data are easier to model and there are numerous techniques available for doing so (see Part III) but, different types of quantitative responses will still require different types of statistical models. Counts of species or of individuals usually require specifying Poisson, negative binomial, or other probability distribution functions (PDF) for discrete positive values, a requirement that can be met using several modeling techniques, such as generalized regressions (e.g. Vincent and Haworth1983) or boosted regression trees (e.g. Thuiller et al.2006; see Part III). Binary response variables, such as species’ presence–absence data, require binomial PDF and logistic transformation (e.g. the link function in GLMs and generalized additive models (GAM); see Part III) and represent by far the data for which the largest range of modeling techniques is available in ready-to-use packages. Techniques for binary response variables are also the main ones presented in this book. Once a statistical method has been chosen, it is assumed to be the right one for the data in hand. Failure to identify the correct method can lead to errors and uncertainty in the predictions (e.g. Guisan et al.2002). (Guisan et al. 2017)",Modulating assumptions (Low),Using default settings in model parametrization,"Accuracy, Precision","Reduce the statistical power, Biased Parameter Estimates",Moderate,Moderate,"Evaluate a set of candidate models using independent data (if available) or robust cross-validation methods to assess their fit and predictive power., Manage model complexity: Overly complex models with many parameters can overfit the data and perform poorly when extrapolating to new conditions. Balance complexity with data availability to ensure reliable predictions.",1,1,1,0,,
Model building,Model settings/complexity,Shape of the species and covariates relationships,,,Species responses to environmental factors are often non-linear (e.g. a bell-shaped curve showing optimal conditions rather than a straight line),Modulating assumptions (Low),Use of modelling approaches that do not handle non-linear relationships,Accuracy,"Reduce the statistical power, Biased Parameter Estimates, It can add residual spatial autocorrelation (RSA)",Moderate,Moderate,"Transform covariates., Acknowledge modelers were unable to address this assumption.",1,1,1,0,What interactions or nonlinear relationships are missing?,Are the assumed species-environment relationships realistic?
Model building,Model settings/complexity,Correlative relationships (species-enviromnment) discovered are stationary over space,,,"""Broad-scale ecological research on species distributions commonly presumes that the correlative relationships discovered are stationary over space"" (Pease et al. 2022).",Modulating assumptions (Low),"""..as the spatial extent of a modeling increases, the likelihood of heterogeneity in the response and the resulting species–environment relationships varying across space also increases. That is, a fixed set of regression coefficients estimated in a species distribution model (SDM) may not represent the actual space-varying relationships between a response (e.g. animal abundance or occupancy) and environmental covariates (e.g. forest cover) (Figure 1). This is termed “nonstationarity” and describes variation in the magnitude and/or direction of a correlative relationship across space or time (Rollinson et al., 2021)"" (Pease et al. 2022).",Accuracy,"Commission errors, Omission errors, Inability to capture the true mechanisms driving species distributions, The relationship between a species and its environment might not be consistent across space (ecological non-stationarity), Redue model transferability",Moderate,Moderate,"Geographically Weighted Regression (GWR) Models., Spatiotemporal variability in the R package sdmTMB (Ward et al. 2022)., Acknowledge modelers were unable to address this assumption.",1,1,1,0,,"""How reliable are future species distribution projections if the underlying relationships between species and their environment (ecological niches) are assumed to be static (stationary) but are, in fact, changing over time or space due to climate change or other factors?"", ""To what extent does violating the non-stationarity assumption introduce bias and uncertainty into model outputs, and for which species or situations is this bias most significant?"", ""What are the most effective methods (e.g. breakpoint analysis, moving window analysis, statistical tests for stationarity) for identifying the presence and nature of non-stationarity in ecological data?"", How can models be formulated to incorporate non-stationarity?, ""Should researchers use local approaches where model coefficients vary across space, or use dynamic/process-based models that explicitly account for changing processes over time?"", How does the choice of predictor variables affect the detection and impact of non-stationarity?, ""At what spatial and temporal scales is the stationarity assumption a valid approximation, and at what scales does it become problematic for different research questions (e.g. short-term, local studies vs. long-term, broad-scale climate change impacts)?"""
Model building,Model estimates,Appropriateness of performance metrics,,,Model performance metrics are appropriate for model assessment.,Working assumptions (Moderate),"Computing AUC and TSS statistics requires the use of true absences (Guillaumot et al. 2019). When the potential distribution is the goal of the research, the AUC is not an appropriate performance measure because the weight of commission errors is much lower than that of omission errors. (Jiménez-Valverde 2011)",Accuracy,"Inadequate model selection, Reduced model transferability",High,High,"""Selecting the Right Metrics: Different metrics (AUC, TSS, Kappa, Tjur's R2), etc.) evaluate different aspects of model performance (e.g. discrimination, calibration, accuracy) and respond differently to factors like species prevalence."", ""Consider Ecological Plausibility: Do not just focus on a high performance score; ensure that the model's relationships with environmental variables are ecologically relevant and make sense based on existing knowledge of the species (e.g. expected temperature responses)."", Acknowledge modelers were unable to address this assumption.",1,1,1,0,"How concerned are you about the adequacy or appropriateness of the validation metrics?, What are the metrics that should be used and why?",
Model building,Model settings/complexity,Appropriateness of background points (pseduo-absences),,,Models are not sensitive to different background point selection strategies (e.g. Steen et al. 2024).,Working assumptions (Moderate),"Selecting random points when there is high sampling bias results in a model assuming that areas beyond the areas sampled heavily are in fact absence locations which is often untrue, and your resulting model will predict your species occurs in areas you sampled but will often miss areas where the species occurs but were not sampled adequately. ","Accuracy, Overpredictions, Undepredictions","Commission errors, Omission errors, Reduced model transferability, Biased Parameter Estimates, Misidentification of key environmental drivers",High,High,"Assess predcitive performance; using  different types of background selections (Steen et al. 2024)., Acknowledge modelers were unable to address this assumption.",1,1,1,1,,
Model building,Model settings/complexity,Relying on default settings,Soley-Guardia et al. (2024),Hazard 4,"Models are fairly insensitive to settings that affect their complexity; or default settings result in an acceptable parameterization regardless of biases and nuances of each input dataset.... This is especially problematic when the occurrence data are biased ..."" (Soley-Guardia et al. 2024). See also, Hallgren et al. 2019, ). ",Working assumptions (Moderate),The configuration settings in SDMs is not standard and alternative to default values must be pursue.,"Accuracy, Precision, Overpredictions, Undepredictions","Commission errors, Omission errors, Potentially misrepresenting species distributions, Potentially misrepresenting suitable habitats, Underprediciton of potential regions of suitability, Reduced model transferability",Moderate,Moderate,"Assess multiple parameterization scenarios (Soley et al. 2024; Valavi et al. 2021)., Document and explain model settings (Hallgren et al. 2019)., Acknowledge modelers were unable to address this assumption.",1,1,1,0,,
Model building,Reducing predictors,Reducing predictor variables irrespective of their information content,Soley-Guardia et al. (2024),Hazard 5,"""Modeling with fewer or less correlated variables yields simpler and better models (Breiman 2001, Elith et al. 2008, Evans et al. 2013) that are not fitted to nuances in the data"" (Soley-Guardia et al. (2024)",Working assumptions (Moderate),"There is a potential situation where two or more predictor variables in a statistical model are linearly related. However, removing predictor variables a priori without consideration of their information content may arbitrarily discard informative data (reducing the predictive ability of the model) and does not directly address the problem of overfitting (Breiman 2001, Olden et al. 2008, Braunisch et al. 2013) (Soley-Guardia et al. 2024).","Accuracy, Overpredictions, Undepredictions","Commission errors, Omission errors, Potentially misrepresenting species distributions, Reduce the statistical power, It inflates the variance of regression parameters, Reduced model transferability, Misidentification of key environmental drivers",High,High,"Assess spatial autocorrelation in model residuals., Use spatial autoregressive models., Use spatial eigenvector mapping., Remove collinear variables to reduce redundancy., Reduce dimenssiionality (Zhang et al. 2023)., Orthogonal Principal Componenents (Farrel et al. 2019)., Algorithms might account for redundant variables (e.g.; Feng et al. 2019)., Select environmental variables for groups of species with similar natural histories (Soley et al. 2024) ., Variable selection approach (Cobos et al. 2019)., Acknowledge modelers were unable to address this assumption.",1,1,1,0,"Which predictors should be removed and why?, Which predictors would you expect to be more or less important and why?",
Model building,Model settings/complexity,Using an overly large study region,Soley-Guardia et al. (2024),Hazard 6,"""Within the study region for model training, the species occurs in spatial equilibrium (i.e., the species inhabits all suitable areas) or environmental equilibrium (i.e., although the species does not occur in all suitable areas, it inhabits an environmentally representative (unbiased) subset of them)"".  A""n appropriate study region approximating the assumption of spatial equilibrium (or the noise assumptions) should be defined using available information regarding the species' natural history and the configuration of the landscape"". (Soley et al. 2024)",Working assumptions (Moderate),"Often, researchers use an overly large study region for model building and/or evaluation (Araújo and Peterson 2012, Liang et al. 2018). Sometimes such a region is selected with the misconception that it will yield an accurate depiction of the species' range (rather than the areas suitable for it) but probably most often because a map of suitability is desired in that full area. (Soley et al. 2024).","Overpredictions, Accuracy","Commission errors, Potentially misrepresenting species distributions",Moderate,High,"""Avoid artificial boundaries and utilize ecological classifications (e.g. ecoregions, biomes, etc.)."", Use Spatially Nested SDMs (N-SDMs)., Acknowledge modelers were unable to address this assumption.",1,1,1,,,"What is the trade-off between resolution and extent?, ""Does a limited extent (e.g. a single island or mountain range) inadvertently truncate the range of environmental conditions the species can tolerate across its full distribution, leading to an incomplete or biased characterization of its niche?"", ""Does increasing the extent to the entire geographic range provide a more complete picture of the species' environmental tolerances, potentially improving model accuracy by encompassing a wider range of environmental conditions?"", ""Alternatively, can too large an extent introduce populations with different environmental responses (due to local adaptation or genetic variation), thereby reducing model accuracy or leading to over-generalized predictions?"", ""Will a model built on a limited extent (e.g. current conditions) accurately predict potential range shifts or expansions into novel environmental conditions (e.g. under climate change scenarios) where environmental data were not available during model training?"", ""Does the choice of extent affect the ability to project models to different geographic areas (e.g. predicting an invasive species' potential range in a new region using data only from its native range)?"", ""Is the chosen extent ecologically relevant to the species' life history, dispersal ability, and habitat selection processes (e.g. home range vs. geographic range)?"", ""How do different extents and grain sizes affect conclusions made about landscape properties, such as habitat connectivity or the impacts of disturbances like roads?"", ""Should models be built at a mosaic of extents to account for non-stationarity in species-environment relationships across a broad area, rather than a single, range-wide model?"", How does niche truncation bias predictions?, When is niche truncation a problem?, How does the shape of the truncated response curve influence outcomes?"
Model assessment,Interpretation,Misinterpreting metrics of model performance,Soley-Guardia et al. (2024),Hazard 7,"Error rates for omission (false negatives) and commission (false positives) are both accurately calculated. For commission error and metrics that include it, comparisons across species or regions assume that the ratio of suitable to unsuitable environments remains constant (Soley-Guardia et al. 2024).",Working assumptions (Moderate),"Sampling bias and lack of data affect model performance. Critically, it follows that because of this bias, such metrics do not represent values of absolute performance, but instead relative ones valid for comparisons only with other analyses for the same species and study region (Soley-Guardia et a. 2024).",Accuracy,It limits the identification of optimal threshold for converting predcitions to binary output,Moderate,High,"Implement null models (Bohl et al. 2019)., Validation omission rate (Soley et al 2024)., Acknowledge modelers were unable to address this assumption.",1,1,1,0,,
Model assessment,Validation,Model training and validation datasets and approaches are appropiate,Soley-Guardia et al. (2024),Hazard 8,"Training and validation datasets created using random splits are independent from one another (Soleye t al. 2024). The method used for valiadation is the most appropiate for evaluating model reliability (e.g. resubtitution, data-splitting, independant data (e.g. Araujo et al. 2005, Hintze et al. 2021, Finn et al. 2024)",Working assumptions (Moderate),Predicitve accuracy of SDMs can only be fully tested by means of validation studies using direct comparison of model predictions with independent. (Araujo et al. 2005). Training and validation datasets created using random splits are independent from one another (Soley-Guardia et al. 2024).,Accuracy,Undesired fitting to biases in the training data which is more likely in overly complex models- will go undetected – yielding inflated measures of performance,High,High,"Splitting data non-randomly  (Soley et al. 2024)., Acknowledge modelers were unable to address this assumption.",1,1,1,1,,
Model assessment,Extrapolation,Misunderstanding or overlooking the effects of extrapolation,Soley-Guardia et al. (2024),Hazard 9,The modeled response to a given variable continues its trend unconstrained.  It is assumed that the response remains fixed at the last value of the training dataset Soley-Guardia et al. 2024). ,Working assumptions (Moderate),The new conditions typically contain at least some non-analog environments (beyond those found in the training study region). This makes extrapolation of the modeled response curves necessary to make a prediction (Soley-Guardia et al. 2024).,Accuracy,Reduced model transferability,High,Very high,"Assessing suitability curves (Owen et al. 2013)., Identify areas of extrict extrapolation; using index such as MESS and MOP (See Owen et al. 2013)., Flagging areas with high uncertainty due to extrapolation (Soley et al. 2024)., Assess model's robustness to extrapolation (e.g.; Roberts et al. 2016)., Acknowledge modelers were unable to address this assumption.",0,0,1,1,,
Model assessment,Transferability,Model transferability,,,Models are able to accurately predict species responses under novel conditions. (See Charney et al. 2021).,Fundamental assumptions (High),There will be novel conditions in some geographic areas under climate change scenarios that are not considered.,"Accuracy, Overpredictions",The relationship between a species and its environment might not be consistent across space (ecological non-stationarity),Very high,Very high,Acknowledge modelers were unable to address this assumption.,0,0,1,1,,
Model assessment,Comparing across species and places,Comparing model outputs across different species or places,Soley-Guardia et al. (2024),Hazard 10,"Values given to scaling parameters are appropriate...........  the rescaling parameters are still equivalent among the entities involved (e.g. for ecologically similar species), rendering output values that are consistently incorrect yet comparable in absolute terms (Soley-Guardia et al. 2024).",Modulating assumptions (Low),"Suitability can only be interpreted as relative across the study area of a given analysis, and the values of the predictions of different models should not be directly compared across species or regions (Soley-Guardia et al. 2024).",Accuracy,"Suitability can only be interpreted as relative across the study area of a given analysis, The values of the predictions of different models should not be directly compared across species or regions",Low,Low,"Estimates of occupancy or abundance can be used to set the scaling parameters rather than relying on default values (Soley et al . 2024)., Make assumptions regarding scaling parameters for sets of species with similar natural histories (Soley et al . 2024)., Acknowledge modelers were unable to address this assumption.",1,1,0,0,,
Model assessment,Robustness,Overall impact of model assumptions,Araujo et al. (2019),Issue 4A,"Demonstrated lack of violation of, or robustness to, assumptions relevant for technique being used. Or consequencesfor inteppretation of results.",Modulating assumptions (Low),Most relevant assumptions (e.g. fundamental) and their potential effect on model rpedcitions (e.g. Very high risk in commision errors) are violated (e.g. Wiens et al. 2009).,"Accuracy, Precision, Overpredictions, Undepredictions",,High,High,,1,1,1,1,To what degree are you concerned about how well the modelling framework addresses important statistical assumptions?,"""What is the relative influence of sampling bias, sample size, and positional uncertainty on model results, and which factor is most important to address?"""
Model assessment,Outputs,"Realism, accuracy and generality",Araujo et al. (2019),Issue 4B,"Model is robust, performance metrics are meaningful, predictions are accurate and generalizable.",Fundamental assumptions (High),Overall assessment from the modelers perspective is that model is not quite robust and might mislead potenial usres,,,High,High,,1,1,1,1,"Identify the areas on the map where predictions are inaccurate., To what degree are you concerned about the spatial resolution of the predictor variables?","""Does a high model performance (e.g. accuracy) guarantee high reliability in the ecological relationships or transferability of predictions to different areas or future climates?"""
Model assessment,Model performance,Goodness of fit and uncertainty,Araujo et al. (2019),Issue 4C,"Measures of performance exhaustively summarize goodness of fit and discrimination. And, Patterns of uncertainty comprehensively characterized",Working assumptions (Moderate),"Uncertainty is a generalized in model predcitions, so modelers might advise use the model predictions with high caution",,,High,High,,1,1,1,0,"What other concerns do you have about model performance?, ""Identify areas on the map where uncertainty does not align with your understanding of data limitations, known habitat complexities, or other sources of uncertainty.""",
Model assessment,Interpretation,Setting an appropriate threshold,,,Transforming continuous habitat suitability predictions into a binary (presence/absence) map requires a threshold. The choice of this threshold directly influences the balance between omission and commission errors. (e.g. Benito et al. 2013),Working assumptions (Moderate),Binary maps are highly sensitive to threshold's values (e.g. Abdel-Moniem et al. 2025).,,,High,High,Compare multiple thresholding methods (see Abdel-Moniem et al. 2025; Guisan et al. (2025).,1,1,1,0,,